review,rating,date
Tiffany did an outstanding job! Tiffany did an outstanding job once she got involved.  The reason why I didn’t rate it with 5 stars is because I initially submitted the claim via the app in December.  No response….so mid January I called and the person told me they didn’t have a claim.  She (customer service) told me it would be expedited.  Mid-February…still no response so I called back.  Once again….I’m told by customer service there is no record of this claim.  So that is when Tiffany stepped in and she got everything rolling quickly!  So the rating is not solely for Tiffany (if so it would have been 5 stars) - it is for the combined experience and delays.,4,"February 14, 2023"
At first I was scared because I never… At first I was scared because I never heard of Branch insurance before. But they did their job and got me enough to fix my truck and I'm thankful for that because it has a lot of sentimental value since my dad passed away. Branch is a good company and the people I talked to there were very nice.,5,"April 06, 2023"
He was great building rapport and… He was great building rapport and persistent. He was a pleasure to work with.,5,"April 26, 2023"
Review of Casey Casey is really a great person to talk to. She is nice patient and very knowledgeable. I appreciate her support very much and I enjoy changing my insurance policy to Branch. Thank you!,5,"April 10, 2023"
Dan made everything really easy to… Dan made everything really easy to switch over my home Auto and boat insurance.,5,"April 26, 2023"
Getting the claim assigned to adjuster Initially the online claim request was lost in the system and i was being directed to different tellers. But at the end one teller helped me to just file a new claim and within an hour an adjuster was assigned. It was really great on how the associate helped me expedite the process.,5,"March 30, 2023"
Hail claim Chris was tenacious in trying to contact me.  I am very often difficult to reach and after numerous attempts we finally spoke. I appreciated his diligence to speak in person.  He also went over the estimate clearly so I understood everything.  When I asked him questions he was knowledgeable and answered immediately.  Overall good experience.,5,"March 30, 2023"
Great Initial Experience Although the website was easy enough I had a couple of questions and needed to call in. Justin was awesome! He was patient with all my questions and very informative. Great experience great rates and I'm looking forward to a lasting insurance relationship.,5,"April 04, 2023"
Branch Insurance conversation with Louis. Louis gave me all the information I needed to make a decision to change my insurance to Branch. He was honest with me and listened to my concerns about insurance companies and the cost of insurance these days. He was friendly courteous and seemed to care what I had to say.,5,"April 02, 2023"
Ricardo Orquiz was very proactive in… Ricardo Orquiz from Branch insurance was very proactive in responding to our car accident insurance claim and followed up with the repair shop at regular intervals. Also assured that all identified damages will be addressed at branch’s cost (minus deductibles) and the vehicle will be restored to pre-accident condition. This assurance greatly helped my wife and I to de-stress. Best insurance company and claims advisor I’ve ever dealt with!,5,"April 03, 2023"
Sam was well versed and helped me get… Sam was well versed and helped me get my home insurance plan set up along with documents sent to our home lender. Each step was explained well and I didn't have any questions because it was all covered so well. I would recommend the service so far.,5,"April 03, 2023"
The friendliness of Alexandria.She went… The friendliness of Alexandria.She went over my coverages.She helped me with both my car and home..Was very easy to get a hold of for my policy's.An awesome representative for Branch Insurance,5,"April 05, 2023"
I called today policy information for…David Sollman (reba sollman) I called today policy information for the SRX and was so fortunate in getting Sam DeCorte on phone.   He was so quick to immediately hear and understand the problem (locked out of car).   He agreed to email copy of card to my son.   Rarely do you find someone who is so sharp and easy to deal with...and professional and pleasant.  San DeCorte is such an asset to Branch.  Not only very efficient but professional and pleasant.  He made this situation so easy.  Why do I want to stay with Branch?   Sam DeCorte,5,"March 28, 2023"
I would recommend Branch insurance My case was not initially handled well which was very upsetting. When Mr. Martinez took over my case he ensured he addressed my concerns took over my case and made the necessary calls to get my car into the shop as quickly as possible. By the time I hung up I was very happy and willing to recommend Branch insurance to my friends and family.,5,"March 15, 2023"
Louis thanks for the great customer service! Louis made the experience personal.  Had the answers I needed with regard to a new homeowners policy.  I am a current Branch Insurance policy holder.  Very much pleased with his customer service.,5,"March 30, 2023"
Excellent Customer Service Louis Quinones was very helpful and professional! I started looking for a new insurance company a few weeks ago and then became ill so I was unavailable for a time and then unable to talk but he was very patient and emailed back a forth answering any questions I brought to him. Thank You!,5,"March 09, 2023"
Christine was super helpful and… Christine was super helpful and answered all of my questions!,5,"April 19, 2023"
Casey Edwards is excellent Working with Casey Edwards has been a pleasure. Though my vehicle is totaled she was constantly in contact with me to make sure my experience was as easy as possible. She was very professional in returning emails and also calling me to keep me updated. She is an asset to your company.,5,"February 23, 2023"
Branch Insurance ROCKS! Justin is awesome! He got me a VERY GOOD bundle of home & auto insurance. I recommend Branch insurance to anyone wanting to find a new policy.,5,"April 05, 2023"
Super speed and excellent Edna Edna Vindiola helped us to get through this. She explained every step we need to go through and very patient and passionate towards us. She helped to process this claim in super fat speed and updated every events immediately.,5,"March 13, 2023"
My experience was 5 star great!!! because the customer service Rep was amazing she was informative and very sweet which we do not have this kind any where you go these days.  I loved speaking with Kelly she was nice and was able to find me a great deal for my car insurance as I am not working at this time she was able to make it work for me and I was pleased not only did she help me but lead me to at ease It was simple and quick with great customer serviceI can go on and on but I am sold with this company due to great customer service and she made sure I was well taken care of Thank you so much I have never received such great service that was willing to help where other insurances hang up and move on or do not call you back while you wait.,5,"March 29, 2023"
Easy fast and incredibly helpful I had never filed a claim before so I had no idea how any of this worked. Jenna Roberts made the process as easy as possible on my end and was beyond helpful with answering any and every question that I had. I would highly recommend Branch Insurance.,5,"March 21, 2023"
I just signed up with Branch in… I just signed up with Branch in December of 2022 and by February we had a storm and I needed a new roof and gutters so I wasn’t to sure how well branch was going to handle it. So I talked to your associate Christopher willoughby and he he walked me through everything and was very helpful and made the whole process very easy. This is the type of service that will make me a long time customer.,5,"March 13, 2023"
Casey was very good about walking me… Casey was very good about walking me through the claim process. She listened to what I was telling her asked appropriate questions and was thorough with her explanation. She made a stressful situation much easier.,5,"March 22, 2023"
My Branch experience. My experience with Branch was made great by your agent Cierra Warstler. She was kind patient knowledgeable and understanding dealing with a not so tech savvy old guy. She walk me through the products and the process more than once as I had called twice last week while trying to decide which way to go with my home and auto insurance purchase. Talking to her made me feel confident and assured that I was making the right decision moving to Branch.   Also involved in my decision was your ratings and discussions with my current agent and a friend who is a current independent agent both of whom gave you a green light. I hope to make this a lasting relationship. Again many thanks to Cierra!,5,"March 05, 2023"
Casey has been very polite and easy to… Casey has been very polite and easy to work with.,5,"April 27, 2023"
Great price for auto & home then watch out Was a great price for auto and home then auto increased after 6 months then a year later home doubled in price for same coverage and auto went up 70% even thou letter sent with auto said they had a 12.4% increase when I called and ask they said I shouldn’t have gotten that letter my state was 70%increase. Watch out starts out low to get you in and bang big increases.,1,"March 14, 2023"
"Real person review - Beware of this insurance company! Beware! Learn from my nightmare and do not be fooled by their lower prices! This is the most fraudulent insurance company in the United States. The company agenda is to look for every devious means to avoid paying claims. Their policy documents are written in coded terms and every statement is ambiguous. If you take time to compare their written policy to any other reputable company you will notice that no mention is made of what type of insurance they are selling to you and the reason for the ambiguity is so they can classify the policy as whatever category helps them avoid paying whenever you file a claim. I gave them a HO3 policy to match and they produced an ambiguous policy telling me that it matched the one I currently had but cost a little less. Unfortunately as a novice I did not notice that their policy did not specify plainly any category for the policy they gave me. When I filed a claim few months ago they told me ""Aha! Your policy is replacement value coverage not HO3"" (which is full coverage). Upon looking closely I saw that the document they gave me had NO category stated which they used as an excuse to call it whatever suited them to avoid paying out a claim!! It has been almost 3 months since I filed a claim for my roof damage and they have not only refused to pay for my roof replacement but have treated me like trash. I have been completely ignored until I had no choice but to file cases with every regulatory agency in the state of Texas and I plan to take the matter to litigation regardless of what the agency resolution is. I will be reviewing them on every platform I can think of until the entire world becomes aware of their scam. Don't be misled by fake 5-star reviews online.",1,"February 27, 2023"
Wonderful customer service My son was in an accident and the other driver was at fault. We started working with the other persons insurance but the guy changed his story and said that he wasn’t at fault. We called Casey and explained what happened. Casey began working on the claim and was on top of everything.  She was calling the other insurance company and doing everything she could for us. Since we had full coverage she went ahead and took care of the car processed the car and got us money for the car. I have all confidence that she will see this through until the whole matter is resolved. She’s easy to talk with and takes the time to explain things to us. I really appreciate all that she’s done. Casey Edwards is a true asset to your company.,5,"February 27, 2023"
This review is for Ms Michelle Moss who… This review is for Ms Michelle Moss who did a great job of taking care of our auto and home insurance what a great employee to have with such high caliber of knowledge about their product. We are having hard time of activating our new policy online but she did help us doing everything. Thank you Ms Michelle for the wonderful job you have done. You made everything easy for us. We will surely recommend your company to families and friends. Again thank you.,5,"March 09, 2023"
Great service! My sales agent Anna made our transition… My sales agent Anna made our transition very smooth and enjoyed the engagement. She relayed info very well and was a joy to work with.,5,"April 02, 2023"
Great 5 star service from Ryan. Ryan was nice and knowledgeable. He didn’t pressure me. He answered all my questions and was professional.,5,"April 09, 2023"
Build the trust I got pipes bursted last Christmas.  I called Branch insurance and claimed the accident.  This is my first claim with Branch.  At the first time I was extremely stressed.  I do not know where to start or how is processed. I also had a hard time finding the restoration company. Luckily my claim is assigned to Brian Coldagelli.  He is excellent professional and leadership in every action he takes. He built confidence in me this helps me to release my stress.  I really appreciate all his hard work.Brian- you are the finest representative of Branch group and we greatly appreciate everything you do!,5,"February 28, 2023"
My experience with Branch is when I met… My experience with Branch is when I met and talked to Jenna Robert’s about my situation and Jenna did everything she kept me updated with everything she was very pleasant and understanding and very helpful and for that she deserves a A+ I love working with her she will always get a good review from me Ms. Carter,5,"March 07, 2023"
Alexandria was super knowledgeable and… Alexandria was super knowledgeable and pleasant to work with.,5,"April 30, 2023"
Kelley was a pleasure to talk to. She was quick knowledgeable and had a great personality. She got the price so cheap - half the price of anywhere else. I would recommend anyone shopping for insurance - reach out to her.,5,"March 16, 2023"
Service was great ,5,"April 30, 2023"
Louis is Awesome! He represents Branch and the interests of all parties involved well. Louis was very kind professional and knowledgeable of my insurance needs. The difference in rates compared to what I've been paying is jaw-dropping. I'm also pleased to have my insurance bundled. So glad to have Branch as my insurer.,5,"March 06, 2023"
Deon   Customer Care Extraordinare Deon is the type of person who goes out of his way to make sure his customers have the greatest satisfaction in the claims process. He has great communication skills as well as awesome interpersonal skills! Timely and articulate and takes the time to listen to his customers needs. He is the epitome of what every person working in customer service in any capacity should desire to be. ( 1 in 10000) He made my claims experience the best one I have ever had during my 30+ years as a vehicle owner.,5,"February 17, 2023"
Kevin was great I had some difficulty getting in contact with my agent and more difficulty getting any information for over a week. But once I spoke with Kevin he was able to clear up any headaches and questions I was having.I spoke with Kevin and he was well-informed and helped me go through the insurance claims process with ease. This was my first time claiming an accident and I felt no stress when working with Kevin.,4,"January 09, 2023"
Painless Transaction. The lady who answered the phone was polite kind and knowledgeable. She made the process very easy and effortless. And I felt very comfortable buying my home insurance policy on the spot. And the lady's name is CARMEN.,5,"March 16, 2023"
Claim at Branch insurance My head adjuster Allison Young is very helpful and responsive.She always responded my request for the claim within a day or less.  The process of claim is on timely basis.I am happy with the service of Branch insurance.,5,"March 05, 2023"
First impressions are lasting I had looked on line and wanted to talk to an agent to see if I was missing anything. Smart move. I was greeted by Anna Martin.What a pleasant person to greet me. First impressions are lasting. She more than walked me through the policy clauses and cost. I'm am now a satisfied policy holder. Thanks Anna,5,"March 27, 2023"
Great Customer Service I was very please with the customer service. I left a message and received a return phone call on a Saturday afternoon. The young lady Devon was extremely knowledgeable about the policy I was interested in and I decided to sign up.Thanks. Kristal Cooper,5,"March 10, 2023"
Allison Young (5-Star Service) Allison is a true professional hands down the best customer service I've received in years.  If she tells you she's taking care you  rest assured that she will follow up.,5,"March 05, 2023"
Trust in you Devon was a delight to work with. Very sweet kind and understanding. She answered all my questions plus some. I called around to multiple insurance companies and Branch has the best prices and the coverage was the same as the other companies. Affordable and great coverage and awesome service,5,"February 22, 2023"
My adjuster (Rachel Bongivonni) has… My adjuster (Rachel Bongivonni) has been awesome keeping me informed throughout the process taking care of issues that came up and everything is done promptly and properly.  This is my first year with Branch and I will recommend your company to anyone.  I haven’t had a claim in at least 10 years and someone without insurance hit me.  You never know how an insurance company takes care of you until you need them.  You guys get an A+ from me!,5,"February 15, 2023"
Easy help with major claim The adjuster James Duncan was such a huge help! He made a very stressful event completely stress free! I barely had to do anything! It was all taken care of and he kept me updated frequently.  He was also easy to reach when I needed him. He kept his deadlines and I could count on him through the entire process!,5,"March 19, 2023"
Don’t get fooled by their low quotes!!! Don’t get fooled!!!! They don’t pay claims.  I also had delighted switching experience when I switched to Branch insurance. The problem starts when you actually file a claim with them. I had a small incident when my car got scratched and after several followups they still don’t respond. Basically they will do everything to decline your claim or discourage you to pursue.  I had my home and 2 cars insured with them and I feels what is a point of trusting them when they don’t wants to pay claims. Stay away and get a real insurance for your 2 biggest assets/investments of your life. Good luck.,1,"February 18, 2023"
Jamie was absolutely wonderful.   She help me to save on my home insurance.  She was so very knowledgeable about any questions that I had pertaining to all my insurance needs.   I am so happy that was able to connect with her.,5,"February 20, 2023"
Alexandria helped to find the best… Alexandria helped to find the best policy for my circumstances. The policy sets my mind at ease! She was kind and patient. I'm so happy! Thank you!,5,"April 11, 2023"
Branch is Reliable and Trustworthy You never need your insurance company until well you need them. You might be concerned about working with a company that is relatively new and digital-first like Branch. I know I was concerned whan I made the switch. Branch is the real deal and trustworthy. I recently had a property loss related to ice storm damage to my roof and home interior and Branch was there to work me through the problem and settle the claim I unfortunately needed to make in a fair manner aligned with my policy. After the damage happened my wife and I had no idea what to do next catastrophic home damage was a new situation for us. We called Branch to file a claim and Brei our assigned agent was informative and courteous. She had us text photos of the damage and immediately kicked off the claims process. The insurance claims adjuster was out the same day assess the damage and make recommendations. He took time to assess all the damage and explained what his major concerns were. The repair work required removing a large tree branch from our roof which Branch covered immediately. Throughout the process Brei kept me up to date and explained the process. She worked with us through the claims process until we were compensated for the damages by Branch in alignment with our policy. Obviously nobody wants to have to file a claim. This situation was one that needed it and Branch was there for us to help make our home whole again.,5,"February 27, 2023"
Destinell is the absolute best. She deserves a raise ASAP!! Every question I had she was quick to have a response that was easy to understand and fully answered the question.  This is one of the best customer experiences I have had in a long time. Thank you Destinell!,5,"March 12, 2023"
Vetuan was helpful and took the time to answer my questions. I don’t have much experience interfacing with my homeowners insurance policy so I appreciated that he was willing to answer the questions I had. He also told me to ask him if there were any other questions or issues I had with my claim. He was also willing to send me the information I requested and did so very quickly.,5,"February 08, 2023"
Casey was a great help very passionate… Casey was a great help very passionate about my well being was awesome! Keep up the excellent work. Thanks again for all your assistance.,5,"March 19, 2023"
In my experience as an owner and… In my experience as an owner and operator for a roofing company insurance companies traditionally view the insured as a number. Branch really surprised me when I got the opportunity to speak with Edna and I could hear the concern for the insured in her voice.  I’m happy to see smaller insurance companies like Branch with such a high caliber of integrity. I hope to see Branch continue to grow with their integrity in tact and give these crooked fortune 500 insurance companies a run for their money. Edna Vindiola has been one of the most knowledgeable and responsive insurance adjusters I’ve had the pleasure of working with. Thank you for helping us restore our mutual client’s home to pre-storm conditions.,5,"March 05, 2023"
Excellent Customer Service Casey was fantastic in explaining the process for my claim in a way that was easily understandable. She was prompt to return messages and answer questions- and her following up to check in on progress throughout the process was so appreciated. Making an insurance claim is usually a very stressful and chaotic experience but Casey was key to making everything go over smoothly. The process of making the claim and getting repairs was quick easy and painless.,5,"March 13, 2023"
Tiffany is a star in Branch Tiffany has provided very professional and helpful services to me. She is very patient for answering all my questions. We do appreciate her. Tiffany is a great asset for Branch and deserves star employee reward.,5,"February 21, 2023"
We had trouble finding insurance we… We had trouble finding insurance we could afford. Alexandria was a huge help and knew the answers to my questions. When we were done my wife cried. Thank you Alexandria you ROCK!,5,"March 09, 2023"
Could not complete online. He guided me through the process. Was very nolagable and informable. A pleasure doing business with him. I usually hate dealing with agents on the phone.,5,"March 05, 2023"
Travis has made the whole insurance… Travis has made the whole insurance process extremely smooth and efficient! They were so helpful and answered all my questions in a timely manner!,5,"March 14, 2023"
Coverage as thorough and inclusive as… Coverage as thorough and inclusive as top insurance brands but at much lower monthly fees. Also has a very friendly and supportive staff who look out for new customer needs.,5,"February 07, 2023"
Branch takes the stress out of a stressful situation I unexpectedly had a water line break in my basement while I was away for a few weeks and when I contacted Branch I was greeted warmly and explained the situation. I had never filed a claim and Melissa Yoder was great during the entire conversation and set me up with an estimator Mujaab Abdul-Xahir who contacted me and set up an appointment to inspect the damage when it was convenient for me.Mujabb arrived at the agreed upon time and was quite polite and thoroughly inspected the damage including taking several photos. I am a busy physician and Melissa was able to work around my schedule and gave great instructions on what was required to process the loss of property to ensure my claim was processed appropriately and rapidly.The use of EFT was unexpected but GREAT. I just had to fill in the form and the funds were deposited within 48 hours. All in all Melissa and Mujaab were exceptionally helpful kind and patient which made a typically stressful situation virtually stress free. I am MORE than satisfied with Branch and will continue to utilize your services for years to come. Thank You!,5,"January 16, 2023"
Super happy with the quick response. Super happy with the prompt and quick response from Mr. Vetuan Tinsley. We needed a roof inspection done within two days and Mr. Tinsley was able to get it done within the stipulated time. Very efficient. I’d highly recommend Branch Insurance.,5,"February 06, 2023"
Quick to respond. Accurate information. Good service all around. A pleasant experience. The amount received by me was a reasonable amount. As insurance companies go - a 5 star rating here. Thank you.,5,"March 08, 2023"
Jenna has great customer services and… Jenna has great customer services and answered all the questions that I had regarding my claim,5,"April 04, 2023"
Switching to Branch Insurance Branch made it easy and effortlessly to switch my auto and homeowners insurance from an insurance company that I was unhappy with for a number of reasons. Jamie was very helpful in assisting me with the change to Branch.,5,"March 05, 2023"
How to sell insurance GREAT SERVICE AND KNOWLEDGE. CALM POLITE PRESENTATION. ANSWERED ALL MY QUESTIONS  AND DID NOT PRESSURE ME TO BUY,5,"March 27, 2023"
Louis was so helpful in finding me a… Louis was so helpful in finding me a new more inexpensive policy. He was very patient with me and understood all my concerns. Best service I have experienced in a long time!,5,"February 28, 2023"
Branch the Best Branch in their customer responds is the best in the business. Mr James Cunningham is the best Claims Specialist I have ever dealt with in the insurance industry. I will be a Branch customer for life. Thank you for everything you do.,5,"February 13, 2023"
My Good Experience with Branch Insurance Branch Insurance covered all my car repair expenses (except of course the deductible) and covered all my rental car experiences while my car was being repaired. Also Casey the Branch Insurance representative for my claim kept contact with me through texting which I appreciated.,5,"March 19, 2023"
Deon Jones is very patient. I am a senior citizen and it takes me a little longer to process.There are many details to my case. He makes sure to explain specific points and goes over what I don’t understand. This means a lot to me. It is very much appreciated.,5,"February 22, 2023"
Deon Jones is the best. I would definitely recommend Deon Jones. He is very helpful as well as cheerful. When talking to him I felt all my concerns would be addressed.,5,"March 07, 2023"
Updated: Not great for month-to-month payments This company is great if you pay six months at a time. They send reminders of the upcoming payment and everything. However if you switch to monthly payments they don’t send payment reminders they just cancel your policy immediately and charge you late fees. My card was stolen and I pay a lot of bills with autopay so I forgot to apply the new card to this bill. Suddenly I receive an email that my policy is canceled. So I’m back to six month payments. This company is not lower income friendly at all. UPDATE 3/16/23: Jake from Branch (not State Farm) 😃 called me and remedied the situation. There was an issue with the text updates and he made sure it works for me now. He went above and beyond and I really appreciate it!,5,"February 13, 2023"
We had a massive leak in our house… We had a massive leak in our house which was thankfully covered. We got an Airbnb for ourselves and three pets and branch worked with the estimate our contractor provided. The only thing I’m still worried about is that I don’t know if my rates will increase or not yet.,5,"February 17, 2023"
I must say this was a very stressful… I must say this was a very stressful hard time for me. I’ve had my vehicle for three years and it was hard to depart from it but the process branch provided made things a little less stressful for me. Things went smoothly and I was able to get the process taken care of and was treated very fairly….,5,"March 15, 2023"
Fast and professional explained every detail. Working to convert homeowners and auto polices for over an hour I found Daniel very well informed patience and no pressure to buy. Great experience on my part.,5,"February 14, 2023"
Cierra made me feel great about… Cierra made me feel great about searching for policies and made the experience a great one for us. She was not pushy and stayed on the phone and answered all my questions and truly took her time.,5,"March 06, 2023"
Easy claim process with Branch Casey was very patient and explained the claim process with minute details. She understood all my concerns and provided valuable guidance,5,"March 08, 2023"
Kelly was very transparent. She explained everything very well. I was told what to expect and how everything works. She was amazing!!!! She should be giving classes on how to treat a customer.,5,"March 22, 2023"
Branch INS is a great company Mr. Lorne B. is a very nice person he make sure you have all your questions answered so I am so glad he is our claim adjustor,5,"April 04, 2023"
Very smooth and fast process. Loved automation and the use of online tools to submit claims and estimate repair costs.,5,"March 14, 2023"
Casey was very professional courteous… Casey was very professional courteous and efficient. She spoke clearly of the steps to be expected in filing a claim. She made the experience a relaxing one considering I was apprehensive about the process. I highly recommend Casey in further claims to be processed .,5,"March 08, 2023"
Cory was very helpful with all the… Cory was very helpful with all the information i needed and directions and steps to take.i really need that because I've never had to go thru this.,5,"March 07, 2023"
Deon was prompt thorough friendly and very knowledgeable.  I was very pleased with my experience.,5,"March 30, 2023"
Review is for Devon Bronk Senior Sales Agent - she was extremely professional helpful FAST clear & concise.  Top tier Communication skills!,5,"March 09, 2023"
Branch is the exemplar of insurance Branch has been the insurance provider that you can really count on to do the right thing the right way. Their slogan “Getting back to getting each other's back” is spot on. The horror stories of dealing with insurance companies & claims is something that Branch changed my prospective on. While dealing with a freeze weather catastrophe (burst pipe flood) on Christmas eve has been cruel exhausting stressful and broke our heart; working closely with our adjuster at Branch Mr. Brian Coldagelli has been a blessing. From day 1 Brian has been a true partner. He has been kind empathetic supportive and super approachable in every aspect prompt and efficient professional listened to our concerns and constructively guided us to navigate the confusing world of insurance while working through a claim. The frictionless customer focus and overall experience we have been rewarded by working with Brian and Branch has been exemplar and has made life easy helping us focus on the most pressing matter of rebuilding our home as quickly as possible. There aren’t enough words of gratitude that we can express. Grateful for all Brian and Branch have done for us in this extremely difficult time. Thank you!,5,"January 23, 2023"
This company started me at under a… This company started me at under a 100.00 a month then raised me to almost 250.00. Horrible company. Don't fall for the scam.,1,"March 31, 2023"
Branch Insurance Andrew was very polite and Patient with me.  That is very much appreciated.  He gave me a quote and explained every item.  It was quick and painless!,5,"March 13, 2023"
"5 stars for Branch & LaToya my adjuster I am giving LaToya and branch all fives because of the exceptional wonderful and attentive care that we received from LaToya. I truly know that branch is a wonderful company because it came out in the interactions that I had with LaToya my adjuster. Although I had some hiccups on my side because the company I went through caused delays in my claim (almost 4 months to get back home). LaToya was right there doing her best to get them to move on repairing my home. Ultimately we had to go with a different company to help us to get our home repaired and LaToya was right there working with them also. Branch sent the funds I needed to get my home repaired quickly and took care of our temporary housing arrangements for nearly 4 months.I tell everyone I know ""If you need an insurance company call or go to branch.com because they stand by their word and they have the most professional kind and caring employees. And this review is a HUGE KUDOS to LaToya Massey my adjuster. Thank you LaToya for helping us get back in our home again.  I'm a happy customer of Branch for life. **Dates:  10/26/2022 - 2/16/2023",5,"October 25, 2022"
Brianna was quick to respond to both me… Brianna was quick to respond to both me and the body shop to efficiently get the repairs completed.,5,"March 23, 2023"
Best Sales Experience with Insurance Daniel Hawkins was great! Helped me find every discount available to help keeps the cost down but also maintain great coverages! Thanks you!,5,"March 21, 2023"
Best move I've made in 2023 Tom was very patient and knowledge with all my questions. He made switch to Branch go smoothly. The quote I got and accepted was better than any other insurance company I could have went with. Thanks Tom Jann,5,"February 06, 2023"
Good Job Cory! I want to thank Cory! He was professional timely and over the top with his stellar customer service. He is worthy of all accolades and praise. Have a great day!,5,"March 05, 2023"
Got with an agent immediately who gave… Got with an agent immediately who gave me a quote and explained the policy I was purchasing and the cost of what was involved.,5,"February 28, 2023"
So Glad that I have Branch Insurance The people that I have talked with at Branch are so warm and kind. They have listened to me and are working hard to help me deal with this loss. I am so impressed with this Insurance company.The person who answered the phone when I called my adjuster was so sweet and so caring. Lorne my adjuster is wonderful and so kind. I so appreciate the care that they provided.,5,"February 01, 2023"
Travis is what made this experience… Travis is what made this experience bearable for our family. He was in communication immediately and always. He was very transparent and helped us through this. I cannot say enough about Travis and his professionalism.,5,"February 09, 2023"
Service Exceptional service from filing my claim through completion. My adjuster led me through the traumatic (for me) process in the most respectful and efficient manner that I could imagine. I recommend  Branch Insurance to everyone who is looking for dependable professional service.,5,"March 11, 2023"
Review of Lewis convo Talking with Lewis made it easy to a transfer over to your company. He's a great asset to your organization.,5,"March 02, 2023"
Reimbursement for Claim Brad helped me get reimbursed for roadside assistance very quickly! Awesome service. Thanks!,5,"March 09, 2023"
She explained things very pleasant and definitely a great sense of humor. Enjoyed talking with her,5,"February 28, 2023"
Application to Final During the application process it was easy to tweak the different amounts of coverage and immediately see the difference in cost.  Had to call in to verify some information and finalize the policy but spoke with Daniel - he was extremely helpful and had a pleasant phone voice.,5,"February 14, 2023"
Sierra was extremely helpful explained everything fully and was very personable. She made the insurance purchasing experience much more pleasant than I've ever experienced. She represents your company very well.,5,"February 23, 2023"
I am so glad I switched to Branch Ins. I had a flood in my basement. Dustin took care of my claim with professionalism and compassion.,5,"March 06, 2023"
Louis was A+ Louis was very helpful and friendly answered all of our questions and was extremely knowledgeable. A+ experience all the way around.,5,"February 13, 2023"
Great service! The sign up process was very easy and the service was fast.  All my questions were answered and I am hoping this turns out to be a great experience overall.,5,"February 03, 2023"
helpful people i lost my husband and have never had to do this stuff before Devon was very helpful,5,"March 21, 2023"
Exception customer service from James… Exceptional customer service from James Duncan even when the repairs were taken care of within one day of filing a claim.,5,"February 20, 2023"
Deon Jones treated me very well and was… Deon Jones treated me very well and was prompt to respond to questions and concerns.  I highly recommend him and Branch Insurance.,5,"February 08, 2023"
Hugo was simply amazing at answering… Hugo was simply amazing at answering all our questions and concerns and earned our business.,5,"March 05, 2023"
Great Company Very courteous and helpful associates. I am so far happy to that we made the change to Branch.,5,"March 15, 2023"
